Country,Year,LE_at_birth,Doctors_Per_10000,Access_to_Electricity,Gender_Development_Index,Gender_Inequality_Index,Human_Development_Index,Health_Care_Index,Crime_Index
Cyprus,1970,68.927,1.196291726,88.5447478,0.943327248,0.510416854,0.652708849,63.56783051,50.02524951
Czech Republic,1970,69.4402439,1.8,96.17899099,0.955234139,0.474232901,0.686016332,65.71710942,51.31520784
Germany,1970,70.44719512,1.55591934,95.88673005,0.951870019,0.484559099,0.680716438,64.89388132,51.36057251
Djibouti,1970,47.511,0.284,44.77905564,0.795429387,0.681520112,0.431288022,49.21579119,71.14153985
Dominica,1970,65.468,0.161,44.57802061,0.931542185,0.520151011,0.540259677,69.11751078,40.71375667
Denmark,1970,73.34341463,1.701020195,97.07154786,0.956676439,0.457282759,0.716454727,64.96108233,51.98601734
Dominican Republic,1970,56.145,0.263741123,43.51251108,0.800484932,0.682652371,0.435617779,49.38523626,72.01962084
Algeria,1970,43.16,0.123,24.33310573,0.714401195,0.710957081,0.31954163,46.91675758,76.47469838
East Asia & Pacific (excluding high income),1970,56.23737502,0.281673478,45.93252296,0.799444424,0.686202068,0.435488002,49.4626769,71.86088246
Early-demographic dividend,1970,50.76912137,0.274931645,44.37659896,0.80063262,0.683810426,0.435650443,49.17046593,71.45441249
East Asia & Pacific,1970,58.03641152,0.270099091,43.72380809,0.792309039,0.686202712,0.443608552,49.67456152,72.07686491
Europe & Central Asia (excluding high income),1970,63.39830912,0.834492682,74.49340713,0.893657103,0.56350271,0.565660095,57.06675325,55.9195072
Europe & Central Asia,1970,68.91063593,1.191987359,88.5939125,0.944806687,0.510489385,0.653223016,63.90649246,50.07793667
Ecuador,1970,57.152,0.348,47.07472049,0.78758727,0.686860217,0.428988489,49.44845785,71.3933217
Egypt,1970,50.013,0.527,49.4663949,0.739548165,0.708215871,0.419893819,48.4647177,71.4946692
Euro area,1970,71.10592325,1.626967141,96.3904529,0.957510003,0.472253983,0.692763103,65.65902865,51.67595255
Eritrea,1970,41.09,0.257934071,43.07233157,0.790504214,0.683470775,0.422466922,48.76096152,72.62241516
Spain,1970,72.02731707,0.569450447,84.11420908,0.952799849,0.434278204,0.674746735,78.23600545,45.2435058
Estonia,1970,69.41009756,1.204327677,88.75815876,0.942712646,0.510167049,0.65290122,63.92589628,49.7492886
Ethiopia,1970,42.815,0.012,5.23409163,0.739501462,0.686174322,0.285226511,47.31614719,76.62502735
European Union,1970,70.82235693,1.625136217,96.17539504,0.957018538,0.474259883,0.68885746,65.97942788,51.43956777
Fragile and conflict affected situations,1970,48.92553698,0.277131776,44.6935432,0.787044012,0.684437538,0.43143608,49.34085785,71.47741249
Finland,1970,70.1795122,1.492989204,94.96393219,0.955379653,0.488433153,0.679206377,64.46342578,51.42425771
Fiji,1970,61.713,0.471,65.22103544,0.938824941,0.536663799,0.564625207,62.47686863,53.72297463
France,1970,71.65853659,1.2,89.76180106,0.952618374,0.475988962,0.678802833,65.90215709,51.71128237
"Micronesia, Fed. Sts.",1970,61.035,0.224903939,40.21890279,0.945163023,0.546031351,0.535587327,61.83159376,54.11314995
Gabon,1970,52.555,0.191,40.58230825,0.791416372,0.677572949,0.425668989,49.28851903,71.08726248
United Kingdom,1970,71.97317073,0.9,84.40645285,0.898583391,0.558609062,0.628599956,49.33433697,65.26480859
Georgia,1970,64.431,3.2,97.46780858,0.974753697,0.418009131,0.663580121,59.00338204,54.81271968
Ghana,1970,47.805,0.078,8.857334304,0.73435917,0.706889253,0.315103755,47.31614719,76.8162079
Gibraltar,1970,70.605,1.555451624,95.80815413,0.95097781,0.482352419,0.683418993,65.07465384,51.4973556
Guinea,1970,39.008,0.02,5.288702714,0.714883624,0.707689268,0.283931845,46.77228111,77.14136068
"Gambia, The",1970,39.871,0.041,4.926131175,0.757784925,0.70177039,0.314153657,47.746204,76.85875711
Guinea-Bissau,1970,38.025,0.052,8.013909887,0.743160431,0.702299461,0.314310241,46.77228111,77.04186068
Equatorial Guinea,1970,30.248,0.086,13.00819642,0.756317798,0.698267814,0.329211489,47.712204,76.07006267
Greece,1970,72.77080488,1.6,96.45781797,0.957136617,0.467482128,0.709880155,65.87057899,51.51299896
Grenada,1970,66.216,0.346,64.01310609,0.895156181,0.55644167,0.561878897,56.19398868,53.1870674
Guatemala,1970,49.439,0.274,44.12131074,0.783487211,0.687805569,0.42733677,48.91074178,71.37161249
Guam,1970,64.825,1.013465531,83.0256197,0.896796316,0.560749858,0.614092649,56.40564461,57.87159381
Guyana,1970,60.469,0.235,42.55447026,0.763442897,0.713161189,0.44400053,47.92276921,74.08219316
High income,1970,70.16775786,1.219861689,88.97772957,0.943093402,0.50449505,0.656493814,64.01849468,50.40346267
Hong Kong,1970,71.04995122,0.663,85.48271669,0.949947538,0.450711019,0.675634859,69.61320253,45.91074407
Honduras,1970,54.44,0.269,44.48879138,0.793347069,0.684532768,0.442406357,49.1621795,71.58708662
Heavily indebted poor countries (HIPC),1970,43.87857391,0.173146462,36.89257524,0.789469223,0.688299567,0.42094971,48.52865544,71.98838381
Croatia,1970,68.81263415,1.2084019,88.45332723,0.948884256,0.507958148,0.656967798,63.61770551,50.19099175
Haiti,1970,47.337,0.08,8.615429126,0.728463285,0.70638696,0.3145948,46.80901188,77.0882079
Hungary,1970,69.16463415,2,97.46461963,0.953595459,0.458408832,0.688937523,65.45636233,51.08263866
IBRD only,1970,55.89302882,0.274000798,43.70586645,0.787994416,0.685929586,0.440319869,49.24355271,71.86456491
IDA & IBRD total,1970,54.20754286,0.256525851,43.14845517,0.790114154,0.685495866,0.439919329,48.77684982,72.10120409
IDA total,1970,46.41466362,0.289292831,45.78080253,0.786801264,0.68460836,0.431410734,49.07772255,71.47411249
IDA blend,1970,49.50418379,0.280380663,45.53241754,0.784386648,0.687700759,0.428757706,49.16913922,71.49611249
Indonesia,1970,52.992,0.037,10.1101489,0.74229712,0.701192526,0.337645991,47.49863966,77.20587987
IDA only,1970,45.04983731,0.162230145,35.57799864,0.789877221,0.68758875,0.424794774,48.68257211,72.08138381
Isle of Man,1970,65.684,0.308,57.84255905,0.882298891,0.56389621,0.521596924,55.37467785,55.13914772
India,1970,48.241,0.205,40.25915945,0.786124327,0.687947121,0.427957679,48.28526264,72.13906684
Ireland,1970,70.90156098,1.58836061,96.10990703,0.941286434,0.470334968,0.692820214,65.09438382,49.68382637
Iran,1970,50.204,0.306,44.96553467,0.784653096,0.686351108,0.432324345,48.937467,71.54061249
Iraq,1970,60.186,0.309,45.86332079,0.759498174,0.715760827,0.439125523,49.19668177,73.30872135
Iceland,1970,73.93390244,1.4,94.85730563,0.94476243,0.467532955,0.706811445,63.75161128,49.66902514
Israel,1970,71.21341463,2.881,98.62006771,0.980053194,0.379775037,0.709879236,60.97492679,56.78420318
Italy,1970,71.55878049,1.603450726,96.5506375,0.945963214,0.470302516,0.694468368,64.49672308,50.56998703
Jamaica,1970,66.702,0.38,63.98849011,0.885043577,0.560689672,0.555472572,56.76864876,54.9649758
Jordan,1970,59.87,0.404,49.70214784,0.761039598,0.710507529,0.450259714,49.59208996,71.67726059
Japan,1970,71.9197561,1.1,89.59919054,0.944446891,0.468246499,0.678798887,65.89988598,48.78517914
Kazakhstan,1970,60.42297561,0.332190148,52.52990087,0.853804775,0.632086059,0.493703706,49.46985442,69.20286044
Kenya,1970,53.575,0.125,28.31868173,0.787409487,0.691986748,0.42646448,48.56450898,74.78035397
Kyrgyz Republic,1970,58.00531707,0.476155169,51.53947201,0.75450205,0.702144876,0.430252807,49.37908996,71.17596873
Cambodia,1970,39.129,0.062,8.795065322,0.753214149,0.697280975,0.306408877,48.13303734,76.3313715
Kiribati,1970,54.527,0.613,51.70759848,0.75640888,0.698087993,0.439971125,49.44818495,71.00916388
St. Kitts and Nevis,1970,61.291,0.312,44.65347469,0.949087181,0.491085143,0.583567114,72.02593023,47.33419178
South Korea,1970,62.16341463,1.377824881,80.58433116,0.950572962,0.484214958,0.635875934,63.55617821,60.86572078
Kuwait,1970,66.53,0.954,84.17136553,0.885911449,0.562256028,0.606030435,57.30734745,56.53577615
Latin America & Caribbean (excluding high income),1970,58.38504342,0.491596307,50.50535767,0.751490902,0.702199499,0.445980354,49.32847457,71.97568916
Lao PDR,1970,43.563,0.066,8.899303654,0.769059226,0.689864698,0.314720598,47.96971454,76.5003215
Lebanon,1970,66.759,0.726,85.52447234,0.937965422,0.482066148,0.656969584,70.45201361,43.40934655
Liberia,1970,40.599,0.079,11.17378685,0.785250326,0.681941287,0.325140905,47.94429787,76.803696
Libya,1970,55.189,0.368,50.52120684,0.789391511,0.674346487,0.436387635,49.13316912,70.57467318
St. Lucia,1970,64.267,0.187,40.51673231,0.935098378,0.500139238,0.554331207,73.85869718,39.92049375
Latin America & Caribbean,1970,59.07360052,0.485091032,50.50468953,0.747807128,0.705350052,0.447001983,49.22279275,72.01618916
Least developed countries: UN classification,1970,43.24340676,0.277607936,44.4336633,0.794129017,0.681941782,0.42965081,49.26734135,71.25673985
Low income,1970,44.24928747,0.264809897,43.81501682,0.806558895,0.679746452,0.427916891,49.00566738,72.78885919
Sri Lanka,1970,65.267,0.169,33.49096915,0.937200268,0.480103856,0.552159892,74.13422074,38.54138377
Lower middle income,1970,49.04409519,0.258291837,43.84873466,0.801535055,0.683177041,0.429322048,48.93090071,72.87735919
Low & middle income,1970,53.13593997,0.16157803,35.15128596,0.795465528,0.684157518,0.442373433,49.62951239,72.16579871
Lesotho,1970,51.012,0.032,7.045545219,0.748789457,0.704306801,0.297897113,47.68253272,77.23086068
Late-demographic dividend,1970,58.8893528,0.486526264,51.43729056,0.747627871,0.706049423,0.433580045,49.16440814,71.32862647
Lithuania,1970,70.80439024,1.59923711,96.13069772,0.939252841,0.46770122,0.690159776,65.56460454,49.55922371
Luxembourg,1970,69.59321951,1.1,90.13835656,0.92432901,0.503338189,0.650625995,65.79762074,46.44887746
Latvia,1970,69.83536585,1.177441011,89.19429632,0.935632465,0.509288597,0.648359343,64.78019916,48.59787137
Taiwan,1970,69.198,0.634,85.90961753,0.905594006,0.498530782,0.625826137,70.32915143,42.62872675
St. Martin (French part),1970,71.569,0.526155968,84.02083356,0.952081581,0.435639976,0.674671111,78.62268323,44.63313655
Morocco,1970,48.807,0.076,9.873382242,0.751894349,0.71031308,0.321685859,47.85221454,77.10508063
Moldova,1970,63.885,0.762304835,73.19832746,0.873164709,0.567799281,0.557930753,56.92442178,56.61868689
Madagascar,1970,47.507,0.097,24.37081167,0.772029157,0.69241809,0.359875282,48.05771454,75.91001873
Maldives,1970,45.068,0.033,4.919792021,0.81912593,0.657818022,0.283448018,47.58041037,77.22771939
Middle East & North Africa,1970,51.34092912,0.482826687,50.77966289,0.736256605,0.719466477,0.423982851,48.67079831,71.9283692
Mexico,1970,60.69,0.18586257,36.60555721,0.946223947,0.549579149,0.535298187,63.11944073,53.66688507
Marshall Islands,1970,58.538,0.475083007,51.96164627,0.729754439,0.726121353,0.433021135,49.07865814,71.85062647
Middle income,1970,53.75676741,0.263877136,43.97505796,0.803613208,0.674345669,0.438008577,49.48275349,72.02129811
North Macedonia,1970,63.71939024,0.89,73.70960582,0.870395931,0.569705285,0.563361269,57.24935829,57.84693146
Mali,1970,32.532,0.023,5.499944042,0.736337189,0.688460002,0.257218629,47.64415772,77.00842735
Malta,1970,69.06556098,1.072,90.09773859,0.922079203,0.503250333,0.648229505,66.08174573,45.97920884
Myanmar,1970,50.713,0.114,23.27522931,0.771985919,0.701852178,0.367321226,48.09221454,76.02125682
Middle East & North Africa (excluding high income),1970,50.62930345,0.471002037,50.65191804,0.745848531,0.713899013,0.420984441,48.65378869,71.8343692
Montenegro,1970,69.09219512,0.821277248,87.89542557,0.915380754,0.50986798,0.626952239,67.22837848,43.50825021
Mongolia,1970,52.678,1.729,71.42065277,0.918320156,0.533871363,0.564542942,58.33069503,61.98195302
Mozambique,1970,41.755,0.053,7.914433466,0.81432677,0.662087738,0.30322617,47.59841037,77.01389439
Mauritania,1970,51.038,0.056,9.603517593,0.751404846,0.714830643,0.326830563,47.97271454,77.33023341
Mauritius,1970,61.00036585,0.24,45.05160613,0.888597567,0.607678757,0.490301077,48.9907343,68.72458993
Malawi,1970,36.731,0.013,5.632336908,0.739159971,0.70052328,0.282366043,47.62765772,77.15526068
Malaysia,1970,63.111,0.232,45.47822914,0.881829451,0.607610814,0.512953104,49.74123333,66.17944895
North America,1970,70.98528237,1.517388145,95.89101797,0.940654292,0.47154449,0.692272931,64.41841674,50.00791274
Namibia,1970,53.63,0.500129981,50.30263418,0.750205786,0.711627601,0.435208265,49.34653804,71.27594333
New Caledonia,1970,63.02926829,0.50542802,66.28262233,0.937484274,0.530277108,0.572763512,64.27036319,47.73101091
Niger,1970,36.062,0.017,4.04408019,0.827619165,0.649642783,0.274651882,48.2551236,77.21446263
Nigeria,1970,39.713,0.05,7.621449328,0.814016603,0.66225114,0.301551861,48.0844986,77.21914439
Nicaragua,1970,54.95,0.453,49.34874981,0.758244527,0.711169094,0.432351111,49.84971986,71.23870226
Netherlands,1970,73.58560976,1.2,90.1870284,0.942841062,0.467987392,0.694015886,63.58200578,50.10082927
Norway,1970,74.08804878,1.4,94.15245348,0.94401687,0.467675109,0.70490517,63.57574256,50.06673227
Nepal,1970,42.827,0.019,4.017683514,0.8290636,0.642206929,0.280304771,48.2146236,77.10746263
Nauru,1970,60.042,0.390850364,55.74682247,0.942201134,0.535247398,0.547862505,62.97379106,53.67011434
New Zealand,1970,71.27317073,1.576263544,96.02451305,0.941772727,0.470717799,0.693193963,63.85859355,49.55268062
OECD members,1970,69.4605939,0.649828102,85.45932376,0.919482373,0.51007784,0.627955409,67.95279259,42.94712052
Oman,1970,47.678,0.242734023,41.36785833,0.781526863,0.697338927,0.422734932,49.14157755,72.37975972
Other small states,1970,59.8759913,0.197493179,39.37989823,0.940563761,0.54519817,0.536009652,64.84396463,55.55744012
Pakistan,1970,54.76,0.232,43.38348207,0.788830623,0.701509738,0.434031434,49.48015117,73.1913745
Panama,1970,65.083,0.613,74.09518112,0.874231409,0.54298985,0.564323431,59.01409675,50.59992716
Peru,1970,47.16,0.521,57.29226559,0.691086792,0.730145732,0.39495515,51.94319571,71.12025736
Philippines,1970,61.692,0.111,25.67178462,0.941859159,0.529988657,0.513627367,68.10347208,43.10359668
Papua New Guinea,1970,52.127,0.086,21.11176299,0.765628704,0.706154257,0.383941239,49.62627427,77.63650764
Poland,1970,69.86829268,1.4,93.8819864,0.951119704,0.497089383,0.669718365,64.38294047,51.60188278
Pre-demographic dividend,1970,43.1994002,0.057532875,10.61172981,0.759886189,0.701521257,0.317311575,49.38116316,78.00273341
Puerto Rico,1970,71.048,1.65268324,97.16129799,0.947710384,0.469996592,0.696433651,64.0328418,50.3600179
"Korea, Dem. People's Rep.",1970,60.571,0.351093768,54.79240333,0.873456546,0.619013115,0.505134048,51.36919634,64.99916812
Portugal,1970,67.07317073,0.9,82.9414957,0.939538323,0.510367345,0.629492421,66.03490309,45.18245032
Paraguay,1970,62.684,0.435,60.71307754,0.935494329,0.528662443,0.558821236,64.36325179,49.03414015
Pacific island small states,1970,59.82368002,0.227882979,40.18488446,0.938646549,0.544429915,0.532929356,63.10985625,55.6334857
Post-demographic dividend,1970,70.74742161,1.624905248,96.26586698,0.949830881,0.476706793,0.692393601,65.38574279,50.84447675
French Polynesia,1970,62.429,0.880984968,74.13517872,0.943022027,0.524329806,0.585138953,62.62357657,51.47015737
Qatar,1970,66.532,0.513,74.65415323,0.94250453,0.488257256,0.634605598,69.31676895,43.53970672
Romania,1970,67.48241463,1.185,82.84879369,0.943068863,0.504479973,0.644759202,64.21313027,50.7757123
Russia,1970,68.13365854,0.463243784,76.77319489,0.940894363,0.491939039,0.631255927,69.15796064,42.82428194
Rwanda,1970,47.153,0.017,6.198600094,0.821863976,0.635224479,0.279546558,49.04298399,78.00022227
South Asia,1970,48.28075165,0.058902022,11.26636582,0.753698498,0.703607158,0.330796779,48.92066316,77.91073341
Saudi Arabia,1970,52.715,0.134,28.55723205,0.782516614,0.699548483,0.400270916,49.88987427,75.24909504
Sudan,1970,45.534,0.068,13.24827403,0.761640459,0.719882852,0.344505,50.30975975,77.28302507
Senegal,1970,40.825,0.063,10.27715214,0.759124581,0.698287051,0.321378411,49.48866316,77.97573341
Singapore,1970,68.91312195,0.657,83.14975968,0.945127623,0.471559578,0.665439191,67.60117278,47.04119376
Solomon Islands,1970,56.072,0.205,38.74985637,0.782877462,0.687341847,0.41645759,49.73619321,73.570037
Sierra Leone,1970,38.793,0.056,8.629737155,0.827760852,0.65558163,0.313779697,49.19398399,78.21097902
El Salvador,1970,51.41,0.243,42.68123687,0.793498532,0.683542135,0.434508897,47.90318229,72.73728183
Somalia,1970,45.557,0.037,4.273793782,0.828069539,0.643185262,0.307146894,48.86781733,78.19129727
Serbia,1970,66.09546341,1.158658106,83.67117938,0.938527623,0.504690888,0.62993015,64.11071725,53.15909821
Sub-Saharan Africa (excluding high income),1970,44.36983024,0.22190604,40.95086935,0.784587743,0.696845946,0.401258117,50.37673778,71.85988132
South Sudan,1970,26.399,0.125614729,26.67182831,0.778047601,0.714009495,0.346594347,50.17125975,75.30263827
Sub-Saharan Africa,1970,44.36983024,0.169912169,36.51357928,0.787180676,0.701740628,0.398524276,51.17555899,72.25269244
Small states,1970,60.61631512,0.482737781,61.16850826,0.946184602,0.508301947,0.595416609,65.4767307,52.33628434
Sao Tome and Principe,1970,56.516,0.233,40.00036649,0.782286988,0.689396807,0.424652324,49.65048867,74.00893284
Suriname,1970,60.402,0.465,61.13958305,0.938472411,0.489768565,0.60780433,69.34768292,48.87791695
Slovakia,1970,69.71258537,0.695416987,86.62227943,0.945369833,0.470941453,0.670744742,68.9110493,47.0496197
Slovenia,1970,68.6097561,0.524949701,76.28202461,0.943693736,0.475016255,0.648611763,68.20161167,46.99237622
Sweden,1970,74.64926829,1.3,91.5440544,0.95845831,0.445398421,0.730517823,75.1705789,48.16360551
Eswatini,1970,50.804,0.124,34.97589811,0.796860348,0.685575225,0.428514469,48.89731158,72.82626714
Sint Maarten (Dutch part),1970,71.907,1.691899584,97.20246527,0.958987122,0.469478085,0.702267267,65.82478405,53.69660585
Syria,1970,60.527,0.259,40.54935943,0.934752909,0.514914456,0.558950376,70.32167226,46.12994403
Turks and Caicos Islands,1970,56.31,0.124788639,27.68349109,0.779803201,0.695039849,0.418723559,49.12951932,76.1754095
Chad,1970,40.603,0.016,5.006064445,0.722869258,0.720375389,0.289182691,47.55748052,77.35118568
East Asia & Pacific (IDA & IBRD countries),1970,56.17837879,0.271341913,43.96493501,0.797104905,0.684302645,0.434339582,49.52106152,71.91194825
Europe & Central Asia (IDA & IBRD countries),1970,66.25242568,1.197650792,88.1349492,0.944641449,0.509297158,0.647391981,64.27811247,50.98106308
Togo,1970,46.12,0.035,7.605317932,0.733005969,0.721612192,0.295448817,49.00483613,77.48473341
Thailand,1970,57.711,0.121,28.46167952,0.782705873,0.708613969,0.420131872,49.87447628,76.39633708
Tajikistan,1970,56.809,0.155558426,35.70205097,0.785694715,0.697966457,0.411462155,50.5248033,73.39412458
Turkmenistan,1970,57.663,0.153418436,29.58774903,0.785199348,0.697952428,0.421183395,49.76632884,75.41123569
Latin America & the Caribbean (IDA & IBRD countries),1970,58.63900483,0.454369788,49.39665868,0.756556316,0.699663122,0.446169041,49.45158996,71.73826059
Timor-Leste,1970,37.166,0.152964789,35.11046815,0.792409999,0.687563892,0.401229019,50.19262552,72.77648083
Middle East & North Africa (IDA & IBRD countries),1970,50.62930345,0.468715467,50.32976881,0.720594011,0.723453724,0.416147791,48.67079831,72.07270253
Tonga,1970,63.232,0.256,50.24252256,0.926147297,0.487341787,0.566883672,71.36345575,42.00847764
South Asia (IDA & IBRD),1970,48.28075165,0.054520829,9.603997247,0.82815652,0.651707978,0.329340457,48.43631733,78.49014332
Sub-Saharan Africa (IDA & IBRD countries),1970,44.36983024,0.221582227,40.97093389,0.78495207,0.697581148,0.398976927,50.55573778,72.01438132
Trinidad and Tobago,1970,65.057,0.445,66.0622565,0.876982213,0.537582961,0.567594191,60.38867168,51.53490129
Tunisia,1970,53.87,0.169,34.25989156,0.788586421,0.691168132,0.413108029,50.20379219,72.21316922
Turkey,1970,56.895,0.153868255,32.36525505,0.786390161,0.691672859,0.414868411,50.09037051,73.73008172
Tuvalu,1970,54.94,0.167401593,35.95784567,0.863207878,0.635839546,0.45446756,46.82981471,71.17430687
Tanzania,1970,46.45,0.044,8.180388962,0.764365622,0.674693316,0.322393294,49.45639294,77.74990007
Uganda,1970,49.616,0.108,16.68531126,0.864458938,0.645855017,0.410690683,45.25134881,75.71197858
Ukraine,1970,68.80897561,1.011062659,81.12081922,0.883591239,0.55929522,0.613864763,52.6986536,60.99795689
Upper middle income,1970,57.20928227,0.062556345,16.64347713,0.865314533,0.645708101,0.415060472,45.68759881,77.54251781
Uruguay,1970,68.904,1.093,81.36809483,0.899383465,0.549135687,0.619473093,52.04877759,61.21637572
United States,1970,70.80731707,1.2,84.88520423,0.891482621,0.575773889,0.635777557,50.42503045,63.78105301
Uzbekistan,1970,60.934,1.097661432,71.74714146,0.91788353,0.525044375,0.574482163,57.80540979,59.39276198
St. Vincent and the Grenadines,1970,68.57,0.182,37.09395938,0.937888216,0.474183728,0.559372272,74.46942162,37.6705771
Venezuela,1970,64.299,0.883,74.91605288,0.894151728,0.561073818,0.576140472,51.08954128,62.08001963
British Virgin Islands,1970,66.609,1.188421776,88.07594419,0.944982845,0.509919637,0.647376692,63.78516316,50.16912836
Virgin Islands (U.S.),1970,65.83868293,0.877669238,75.52691471,0.883155962,0.561710066,0.566885524,51.01410078,61.85262275
Vietnam,1970,56.222,0.1396978,23.71462526,0.862620424,0.643983841,0.44102874,44.29034881,75.58500115
Vanuatu,1970,55.186,0.301,42.55666671,0.872455295,0.634829289,0.453913353,45.66002748,71.23386586
World,1970,57.84098147,0.199451434,40.04369559,0.871213141,0.635819201,0.455607112,45.44950589,71.28479023
Samoa,1970,60.18,0.35,46.01669903,0.944692193,0.515235611,0.573472495,65.71757719,47.01477143
