Year,Country,Economic_Rank,Institutional_Rank,Quality_of_Life_Rank,Sustainability_Index_FA,Ease_of_Living_Rank
1971,Turkey,162,47,101,-0.80523,107
1971,Uruguay,169,83,27,0.24363,53
1971,United States,20,23,17,-0.30254,15
1971,South Africa,138,8,92,-0.2763,72
1971,Singapore,87,53,48,0.20928,50
1971,Saudi Arabia,96,100,176,-0.88112,157
1971,Syria,163,174,87,0.04491,96
1971,Thailand,77,140,79,0.10539,79
1971,Sweden,83,98,1,0.71542,8
1971,New Zealand,150,24,12,0.5335,21
1971,Argentina,33,77,81,0.05218,62
1971,Hungary,114,22,19,0.36293,28
1971,Germany,101,117,36,-0.01958,60
1971,Costa Rica,131,105,82,-0.54367,94
1971,Colombia,152,62,106,-0.65106,106
1971,China,99,55,105,-0.64142,102
1971,Chile,168,36,93,0.03134,86
1971,Switzerland,69,20,2,-0.04141,10
1971,Canada,28,96,3,0.15824,15
1971,Denmark,108,67,3,0.24134,32
1971,Brazil,49,167,142,-0.79455,138
1971,Bahrain,76,150,77,0.16123,78
1971,Belgium,22,29,18,-0.22483,19
1971,Austria,41,74,24,0.16052,34
1971,Hong Kong,144,128,22,-0.10638,63
1971,Australia,159,108,46,-0.15832,71
1971,Greece,159,107,20,0.46566,44
1971,Georgia,150,51,35,-0.00575,52
1971,Algeria,57,169,220,-0.86716,219
1971,United Kingdom,151,103,9,0.58683,36
1971,France,118,44,31,0.27427,38
1971,Finland,106,85,30,0.1862,47
1971,Spain,129,81,34,-0.11464,58
1971,Egypt,116,87,171,-0.81571,152
1971,Ecuador,143,14,141,-1.04106,125
1971,United Arab Emirates,21,175,100,-0.49971,110
1971,Cyprus,4,45,51,-0.23103,14
1971,Morocco,124,40,209,-0.86609,190
1971,Mexico,121,99,123,-0.87863,127
1971,Malta,76,30,53,0.21686,48
1971,Malaysia,100,80,82,-0.22045,83
1971,Nicaragua,126,52,144,-1.10565,143
1971,Norway,105,95,28,0.1583,48
1971,Nepal,51,168,216,-0.86716,209
1971,Kuwait,31,32,68,-0.00832,51
1971,South Korea,160,11,107,-0.80879,100
1971,Japan,123,79,21,0.25548,40
1971,Italy,34,76,26,0.25509,30
1971,Israel,132,155,5,-0.06144,52
1971,Iceland,62,3,10,0.14853,9
1971,Netherlands,103,59,23,0.12538,40
1971,Ireland,91,12,6,0.18335,16
1971,Iran,136,54,160,-1.01538,151
1971,Jordan,61,173,119,-0.81819,128
1971,Poland,15,9,16,0.22636,2
1971,Indonesia,122,71,145,-1.13547,149
1971,India,79,106,163,-0.75173,139
1972,Greece,61,2,6,-0.17561,13
1972,Georgia,140,62,38,0.05652,58
1972,United Kingdom,109,74,23,0.4393,37
1972,France,103,71,32,0.19071,47
1972,United States,22,170,40,0.28384,48
1972,South Africa,118,33,129,-0.82557,125
1972,Hong Kong,132,169,31,0.03172,74
1972,Uruguay,146,107,33,0.31887,56
1972,Kuwait,31,7,53,0.16383,19
1972,South Korea,155,18,106,-0.78853,103
1972,Japan,64,41,22,-0.1087,40
1972,Israel,57,3,4,0.05714,12
1972,Iceland,138,166,7,0.20556,59
1972,Iran,111,103,156,-0.95464,160
1972,Ireland,113,86,47,-0.0196,69
1972,India,143,14,154,-1.28286,143
1972,Indonesia,142,13,146,-1.1434,133
1972,Hungary,102,31,25,0.32045,32
1972,Italy,127,123,11,0.46807,44
1972,Malaysia,158,117,75,-0.75613,99
1972,Nicaragua,99,52,198,-0.87417,195
1972,Netherlands,147,165,18,0.4055,59
1972,Nepal,140,16,213,-1.28979,201
1972,New Zealand,78,34,21,0.18545,31
1972,Pakistan,130,20,186,-1.29278,171
1972,Norway,129,128,30,-0.10638,71
1972,Morocco,86,85,217,-0.87655,202
1972,Mexico,149,24,114,-0.63442,111
1972,Malta,125,97,45,0.05058,69
1972,Panama,124,68,71,-0.5778,87
1972,Peru,151,9,187,-1.14289,157
1972,Philippines,146,17,118,-0.48075,106
1972,Sweden,29,30,1,0.04371,5
1972,Syria,87,53,98,-0.45214,94
1972,Thailand,65,92,60,0.04453,72
1972,Tunisia,110,28,110,-0.34021,100
1972,Turkey,164,142,89,0.02844,95
1972,Finland,110,69,46,0.04115,63
1972,Portugal,160,105,70,-0.87393,98
1972,Qatar,30,5,55,0.2314,16
1972,Saudi Arabia,78,76,143,-1.1453,147
1972,Singapore,75,65,50,0.20229,57
1972,Bahrain,100,77,67,-0.52991,85
1972,Belgium,93,57,14,0.36009,30
1972,Austria,134,109,29,0.1333,61
1972,Australia,122,59,21,0.4029,35
1972,United Arab Emirates,20,175,102,-0.55951,118
1972,Cyprus,2,153,43,-0.59228,37
1972,Jordan,139,106,101,-0.80588,113
1972,Poland,19,23,16,0.19413,9
1972,Brazil,33,174,96,-0.7149,117
1972,Argentina,23,58,78,0.03491,60
1972,Egypt,59,168,170,-0.81989,173
1972,Spain,141,25,36,0.34582,34
1972,Ecuador,150,11,134,-0.42105,110
1972,Denmark,72,47,3,0.79756,11
1972,Germany,108,49,19,0.48576,27
1972,Algeria,133,19,221,-1.29993,222
1972,Colombia,162,171,92,0.13402,101
1972,Canada,62,1,5,-0.24135,10
1972,Switzerland,46,10,2,0.60612,1
1972,Costa Rica,112,99,80,-0.55478,93
1972,Chile,163,163,100,-0.81507,127
1972,China,70,46,105,-0.49256,96
1973,Malta,116,112,53,0.19155,66
1973,Morocco,90,55,216,-0.8722,194
1973,Mexico,156,76,120,-0.93598,130
1973,Kuwait,25,58,56,0.38459,27
1973,Georgia,150,82,41,0.48945,52
1973,Greece,158,170,4,0.16677,57
1973,Malaysia,136,62,100,-0.41001,95
1973,Hong Kong,88,81,27,0.32079,43
1973,Hungary,132,42,26,0.52346,33
1973,South Korea,133,4,68,0.07649,48
1973,Indonesia,167,2,149,-0.76959,97
1973,India,152,5,175,-1.05166,137
1973,Ireland,151,109,33,0.41045,54
1973,Iran,145,13,134,-0.30409,102
1973,Iceland,43,131,7,0.37453,24
1973,Israel,89,66,6,0.22999,32
1973,Italy,120,79,24,0.37241,42
1973,Japan,103,98,27,0.47141,44
1973,Sweden,27,30,2,-0.1225,4
1973,Syria,61,50,61,0.07278,53
1973,Thailand,148,108,92,-0.09086,90
1973,Tunisia,120,57,113,-1.15921,119
1973,Turkey,133,15,114,-0.95833,101
1973,Uruguay,166,100,38,0.2487,63
1973,United States,45,133,45,0.38664,46
1973,South Africa,87,77,144,-1.00909,139
1973,Nicaragua,113,89,161,-1.15971,165
1973,Netherlands,115,52,35,0.04663,50
1973,Norway,56,22,14,0.08027,16
1973,Nepal,148,9,209,-1.1155,186
1973,New Zealand,111,65,22,0.27072,41
1973,Pakistan,165,1,178,-1.13056,109
1973,Panama,119,83,72,0.15361,75
1973,Peru,100,59,185,-0.85628,169
1973,Philippines,164,12,131,-0.6313,113
1973,Portugal,68,88,84,-0.0716,77
1973,Qatar,46,104,96,-0.07362,82
1973,United Kingdom,108,153,11,0.42658,47
1973,Saudi Arabia,68,178,182,-0.86353,192
1973,Singapore,144,111,37,0.35855,56
1973,France,82,45,34,-0.00488,45
1973,Brazil,33,182,104,-0.72735,124
1973,Bahrain,60,96,90,-0.01579,78
1973,Belgium,71,17,13,-0.09765,22
1973,Austria,102,85,23,0.5211,37
1973,Australia,79,39,16,0.15152,30
1973,Argentina,23,20,69,0.32429,24
1973,United Arab Emirates,20,183,103,-0.50193,108
1973,Poland,14,37,22,0.23906,6
1973,Jordan,133,40,108,-0.80211,105
1973,Cyprus,2,87,58,-0.52998,20
1973,Finland,122,114,50,0.13639,68
1973,Egypt,124,21,172,-1.2957,155
1973,Ecuador,115,26,128,-0.636,112
1973,Algeria,136,16,221,-1.29766,219
1973,Denmark,66,10,5,0.33547,8
1973,Canada,70,61,3,0.24647,11
1973,Switzerland,28,103,10,-0.01605,26
1973,Chile,57,90,83,0.07772,73
1973,China,107,33,107,-0.80438,100
1973,Colombia,161,113,99,0.1351,94
1973,Costa Rica,157,107,64,0.10862,76
1973,Spain,155,143,49,0.25566,70
1973,Germany,78,14,51,0.26387,31
1974,Morocco,140,11,203,-1.12604,180
1974,Mexico,165,180,116,-1.08993,178
1974,Malaysia,157,163,79,-0.47195,98
1974,Malta,108,81,48,0.06015,63
1974,Indonesia,153,5,145,-0.68198,112
1974,India,168,1,175,-1.10801,109
1974,Ireland,111,24,54,0.34584,48
1974,Iran,123,15,152,-0.96141,123
1974,Iceland,36,20,9,-0.02949,15
1974,Israel,44,71,36,0.19374,38
1974,Italy,109,26,25,0.43317,31
1974,Japan,65,10,24,0.23394,13
1974,Hungary,96,68,33,-0.04309,55
1974,South Korea,169,98,68,-0.11017,83
1974,Hong Kong,67,97,7,0.2508,34
1974,Kuwait,7,168,55,0.0845,35
1974,Pakistan,164,2,191,-1.13263,127
1974,Sweden,35,22,1,-0.03693,3
1974,Syria,125,93,93,-0.20977,87
1974,Thailand,157,147,87,-0.18941,93
1974,Tunisia,156,165,103,-0.00548,100
1974,Turkey,161,178,115,-1.02657,157
1974,Uruguay,154,83,38,0.32499,62
1974,United States,75,44,51,0.20603,49
1974,South Africa,126,18,173,-1.32383,150
1974,Nicaragua,98,96,161,-1.0458,160
1974,Netherlands,86,101,43,0.32685,56
1974,Norway,81,14,8,0.10007,16
1974,Nepal,147,7,206,-1.11417,179
1974,New Zealand,115,69,25,0.51021,39
1974,Panama,155,167,106,-0.09634,104
1974,Peru,97,67,186,-0.93788,167
1974,Philippines,136,13,138,-0.33141,106
1974,Portugal,133,100,66,-0.18574,80
1974,Qatar,3,77,89,0.04349,37
1974,Saudi Arabia,26,179,185,-0.84226,177
1974,Greece,82,51,2,0.21329,21
1974,Singapore,135,103,31,0.54264,53
1974,Brazil,53,143,107,-0.6897,101
1974,Bahrain,88,30,77,-0.15044,71
1974,Belgium,37,72,16,0.18236,27
1974,Austria,116,84,21,0.50329,43
1974,Australia,35,49,14,0.37671,18
1974,Argentina,33,27,81,0.02496,58
1974,United Arab Emirates,1,122,84,-0.07312,41
1974,Jordan,146,104,99,-0.01401,92
1974,Cyprus,6,181,183,-0.36066,128
1974,Canada,76,19,3,0.31739,7
1974,Poland,23,8,20,0.1894,2
1974,Chile,121,106,97,-0.53704,97
1974,Switzerland,27,89,4,0.40079,11
1974,Georgia,144,82,45,0.46006,59
1974,United Kingdom,83,3,11,-0.13384,10
1974,France,66,4,22,-0.18307,20
1974,Finland,37,25,52,0.37607,30
1974,Egypt,119,23,167,-1.3176,155
1974,Ecuador,162,175,108,-0.87414,133
1974,Spain,122,141,50,-0.0468,75
1974,China,79,174,112,-0.55979,114
1974,Costa Rica,128,105,65,-0.26939,81
1974,Colombia,162,107,100,0.11881,95
1974,Denmark,25,46,6,0.27723,9
1974,Algeria,109,45,224,-0.87417,204
1974,Germany,52,17,13,0.40856,8
1975,Morocco,171,3,211,-1.11862,174
1975,Mexico,160,16,117,-0.90973,108
1975,Malta,121,57,50,0.10293,62
1975,Malaysia,72,174,113,-0.6861,122
1975,Nicaragua,136,28,165,-1.30788,158
1975,Netherlands,96,13,26,0.08294,25
1975,Norway,46,40,12,0.32257,8
1975,Hungary,130,42,34,0.3392,43
1975,Indonesia,166,6,195,-1.11417,156
1975,India,170,2,158,-1.01141,129
1975,Ireland,131,170,17,0.00128,73
1975,Iran,173,39,136,-0.60495,127
1975,Iceland,45,78,8,0.59377,10
1975,Israel,64,142,22,0.26071,48
1975,Italy,91,35,30,0.13572,31
1975,Japan,101,9,20,-0.3162,31
1975,South Korea,182,112,68,-0.1245,87
1975,Kuwait,7,139,56,0.02556,41
1975,Nepal,147,14,232,-1.18645,200
1975,New Zealand,93,59,19,0.32641,29
1975,Sweden,41,26,1,0.33718,2
1975,Singapore,48,72,54,0.39154,39
1975,Saudi Arabia,23,176,183,-0.7173,168
1975,Qatar,3,34,43,0.21316,4
1975,Portugal,115,95,88,-0.61971,97
1975,Philippines,143,20,155,-1.20155,141
1975,Peru,123,101,175,-0.89612,170
1975,Pakistan,163,7,188,-1.1544,148
1975,Panama,141,116,108,-0.65823,117
1975,South Africa,168,11,141,-0.50823,118
1975,United States,57,23,13,0.03267,19
1975,Uruguay,175,97,41,0.32104,66
1975,Turkey,181,1,167,-1.08468,113
1975,Tunisia,145,17,163,-1.17939,143
1975,Thailand,142,92,100,-0.14591,98
1975,Syria,125,36,116,-0.54561,104
1975,Hong Kong,71,120,40,-0.00432,64
1975,Belgium,28,29,16,0.02807,12
1975,Bahrain,86,146,97,0.08534,86
1975,Brazil,70,172,106,-0.70711,111
1975,Canada,90,56,4,0.42476,14
1975,Switzerland,6,60,5,0.69371,1
1975,Austria,105,31,61,0.21514,53
1975,Argentina,32,91,47,-0.24595,52
1975,Poland,14,54,29,0.2045,11
1975,Jordan,134,25,104,-0.19962,84
1975,United Arab Emirates,1,161,87,-0.06271,36
1975,Australia,92,21,9,0.35799,9
1975,Chile,49,62,83,-0.06964,70
1975,Cyprus,108,115,52,0.07453,71
1975,Finland,33,32,15,-0.06364,21
1975,France,70,111,23,0.20973,42
1975,United Kingdom,88,37,10,0.47662,15
1975,Greece,132,117,2,0.30228,37
1975,China,128,58,112,-0.53462,106
1975,Spain,119,90,27,0.44847,46
1975,Georgia,167,73,35,0.44405,55
1975,Ecuador,152,24,125,-0.70394,112
1975,Colombia,177,178,101,0.08016,124
1975,Egypt,172,4,161,-1.04697,131
1975,Costa Rica,165,113,66,0.0713,82
1975,Denmark,25,27,3,0.24322,2
1975,Algeria,133,30,235,-1.04642,218
1975,Germany,43,22,55,0.31859,25
1976,Mexico,180,51,115,-0.74236,117
1976,Morocco,168,12,204,-1.1155,180
1976,Malaysia,125,143,87,0.01714,94
1976,Nicaragua,144,119,170,-1.07977,182
1976,Netherlands,54,53,16,0.47516,18
1976,Norway,58,41,13,0.50856,14
1976,Nepal,89,176,215,-0.86272,214
1976,Malta,102,86,54,-0.04789,72
1976,New Zealand,90,50,60,-0.0586,66
1976,Indonesia,186,1,165,-1.10223,126
1976,India,81,182,173,-0.78005,176
1976,Ireland,136,67,58,0.17208,70
1976,Iran,93,175,188,-0.86353,195
1976,Iceland,40,57,3,0.1691,9
1976,Israel,95,116,5,0.05089,47
1976,Italy,94,111,14,0.48562,34
1976,Japan,150,169,19,0.20698,69
1976,South Korea,135,114,114,-0.71723,122
1976,Kuwait,4,108,50,0.01469,20
1976,Syria,138,64,65,-0.09794,82
1976,Thailand,161,52,118,-0.57606,110
1976,Tunisia,177,90,117,-0.91142,125
1976,Turkey,176,4,121,-0.90399,106
1976,Uruguay,185,95,41,0.32331,68
1976,United States,14,17,10,0.22278,5
1976,South Africa,179,3,155,-0.93055,129
1976,Sweden,11,54,1,0.23083,4
1976,Pakistan,164,15,180,-1.11728,154
1976,Panama,118,68,80,-0.35994,91
1976,Peru,127,77,185,-0.87655,168
1976,Philippines,171,8,142,-0.34752,113
1976,Portugal,163,154,34,0.48148,65
1976,Qatar,5,30,29,0.84339,3
1976,Saudi Arabia,39,185,149,-0.67317,162
1976,Singapore,39,32,17,-0.06897,19
1976,Bahrain,49,24,76,0.07461,56
1976,Brazil,72,184,123,-0.70396,127
1976,Canada,41,74,4,0.30773,10
1976,Switzerland,9,26,8,0.47424,2
1976,Chile,137,70,70,0.13741,81
1976,China,86,183,116,-0.59002,124
1976,Belgium,85,18,29,-0.15659,35
1976,Jordan,152,113,108,-0.5939,119
1976,Poland,10,47,30,0.42109,8
1976,United Arab Emirates,1,178,92,0.01833,38
1976,Australia,70,62,7,0.61434,12
1976,Austria,79,29,25,0.20052,26
1976,Argentina,32,21,67,0.29866,23
1976,Costa Rica,145,25,46,0.39619,45
1976,United Kingdom,92,2,12,0.05177,15
1976,Hong Kong,50,76,40,0.05474,49
1976,Georgia,172,99,42,0.38622,64
1976,France,97,19,18,-0.05364,30
1976,Hungary,140,55,28,0.47108,41
1976,Greece,142,150,2,0.49451,37
1976,Cyprus,146,16,48,0.25001,46
1976,Germany,33,20,43,-0.35543,29
1976,Denmark,56,22,15,-0.00197,17
1976,Finland,109,97,36,0.13311,58
1976,Algeria,153,23,231,-1.29093,217
1976,Ecuador,166,5,129,-0.71106,108
1976,Egypt,143,127,165,-0.91947,177
1976,Spain,113,14,27,0.30114,24
1976,Colombia,183,180,102,-0.02762,107
1977,Malta,97,51,52,0.09202,55
1977,New Zealand,48,54,33,-0.05439,36
1977,Malaysia,113,96,84,-0.13839,87
1977,Nicaragua,153,24,175,-1.34979,171
1977,Netherlands,15,30,38,0.14826,12
1977,Norway,62,2,13,-0.15716,10
1977,Nepal,140,78,211,-0.86848,204
1977,Mexico,182,26,106,0.17188,92
1977,Iceland,45,79,5,0.13261,21
1977,Israel,49,63,8,0.22098,17
1977,Italy,88,17,28,0.18955,25
1977,Jordan,173,179,86,-0.5944,121
1977,Japan,96,8,15,0.14619,19
1977,South Korea,124,81,95,-0.33779,97
1977,Kuwait,9,65,53,0.17859,19
1977,Morocco,151,21,150,-0.95074,141
1977,Panama,98,100,105,-0.12154,101
1977,Thailand,172,74,119,-0.88408,127
1977,Tunisia,125,147,103,0.14971,107
1977,Turkey,181,32,107,0.06113,100
1977,Syria,136,97,73,0.079,81
1977,Uruguay,180,89,44,0.1875,70
1977,United States,37,23,9,0.15292,6
1977,South Africa,170,5,152,-0.73114,126
1977,Sweden,10,10,1,0.75809,1
1977,Peru,105,88,164,-0.7751,154
1977,Philippines,146,33,132,-0.43761,122
1977,Portugal,151,68,35,0.53087,50
1977,Qatar,12,178,63,0.02097,55
1977,Saudi Arabia,51,181,160,-0.77827,179
1977,Singapore,59,62,19,0.16547,28
1977,Pakistan,144,122,180,-0.85728,185
1977,Ireland,145,174,20,-0.34233,79
1977,Iran,128,70,194,-0.86074,180
1977,Bahrain,39,60,47,-0.13692,45
1977,Brazil,75,182,134,-0.8311,172
1977,Canada,56,16,7,0.0404,11
1977,Switzerland,4,36,14,0.6114,2
1977,Chile,171,121,72,-0.11408,91
1977,China,129,119,102,0.10942,102
1977,India,161,9,166,-1.09216,145
1977,Belgium,13,40,7,0.46343,3
1977,Poland,17,105,32,0.31028,24
1977,United Arab Emirates,1,162,88,-0.15904,14
1977,Argentina,60,25,76,0.48687,44
1977,Australia,89,34,6,0.24836,18
1977,Colombia,147,102,78,0.0402,86
1977,Austria,64,93,23,0.2211,37
1977,Greece,135,176,2,0.4541,49
1977,Georgia,169,104,45,0.23907,68
1977,Hungary,158,118,28,0.49519,60
1977,Costa Rica,154,67,50,0.30339,62
1977,Indonesia,175,1,173,-1.10748,128
1977,United Kingdom,92,3,10,0.09767,8
1977,Hong Kong,44,94,30,0.04474,41
1977,Algeria,150,20,225,-1.28874,213
1977,Germany,14,15,24,0.39659,5
1977,Cyprus,123,101,56,0.07057,69
1977,Ecuador,167,64,123,-1.02037,130
1977,Denmark,52,18,3,0.33031,7
1977,Spain,137,120,27,0.45475,58
1977,France,94,4,16,-0.15568,20
1977,Egypt,174,6,176,-1.12562,148
1977,Finland,118,27,25,0.32354,34
1978,Mexico,186,180,101,-0.39037,127
1978,Malaysia,149,107,96,-0.42479,111
1978,Malta,72,43,53,0.16139,47
1978,Nicaragua,109,155,177,-0.82089,189
1978,Netherlands,11,50,50,0.68755,15
1978,Norway,18,36,14,0.22225,12
1978,Nepal,151,14,217,-1.28874,215
1978,New Zealand,108,37,7,-0.00653,34
1978,Kuwait,12,20,56,0.43222,17
1978,Morocco,141,23,200,-1.04647,194
1978,Jordan,124,103,93,-0.29543,101
1978,Japan,19,52,22,0.54044,16
1978,South Korea,166,115,85,-0.62365,113
1978,Pakistan,178,3,199,-1.11862,175
1978,Turkey,183,184,130,-1.0261,191
1978,Peru,115,112,169,-0.79403,173
1978,Thailand,156,92,105,-0.12427,110
1978,Tunisia,147,110,125,-0.66572,136
1978,Syria,103,109,97,0.02602,89
1978,Uruguay,176,114,33,0.32782,73
1978,United States,20,21,9,0.29022,10
1978,South Africa,112,125,168,-0.80154,178
1978,Panama,138,111,62,0.05637,82
1978,Sweden,4,47,3,0.55352,1
1978,Philippines,160,16,141,-0.38566,130
1978,Portugal,165,117,46,0.5032,71
1978,Qatar,10,32,37,0.59173,11
1978,Singapore,119,74,25,0.00135,62
1978,Saudi Arabia,41,187,155,-0.61039,159
1978,Italy,94,65,29,0.23297,45
1978,India,135,73,154,-1.08816,170
1978,Iceland,48,18,8,0.26713,13
1978,Canada,64,12,10,0.22174,20
1978,Switzerland,14,31,20,0.6656,6
1978,Chile,182,90,72,-0.2506,97
1978,Brazil,81,186,116,-0.6435,137
1978,China,131,81,121,-0.73363,129
1978,Colombia,184,183,107,0.16265,124
1978,Costa Rica,158,130,35,0.44494,72
1978,Cyprus,133,63,40,0.38536,58
1978,Germany,47,13,31,0.11621,23
1978,Bahrain,59,93,54,0.02459,60
1978,Israel,102,26,11,0.32906,27
1978,Poland,62,69,41,0.19665,39
1978,United Arab Emirates,1,156,95,-0.0465,36
1978,Argentina,46,4,73,0.37138,28
1978,Australia,45,8,6,0.18217,8
1978,Austria,15,51,26,0.84539,9
1978,Belgium,42,28,16,0.49414,14
1978,Denmark,6,25,5,0.54461,3
1978,Algeria,185,1,229,-1.13219,190
1978,Hong Kong,55,91,18,0.35432,29
1978,Hungary,129,96,43,0.38603,63
1978,Greece,104,7,2,0.02297,18
1978,Indonesia,153,11,166,-1.24183,166
1978,Ireland,137,97,24,-0.0469,70
1978,Iran,70,185,192,-0.84656,213
1978,Spain,110,116,51,0.0275,77
1978,Egypt,181,2,153,-0.70608,132
1978,Ecuador,163,29,133,-0.8455,133
1978,Finland,58,88,23,0.26876,36
1978,Georgia,177,100,61,0.41469,77
1978,United Kingdom,102,85,13,0.13367,38
1978,France,71,39,19,0.06361,32
1979,Malaysia,168,114,81,-0.09687,106
1979,Malta,116,69,33,0.02792,67
1979,Norway,17,25,19,0.39744,7
1979,Nicaragua,63,193,210,-0.82876,220
1979,Netherlands,12,5,1,1.44439,1
1979,Nepal,121,95,220,-0.93788,212
1979,New Zealand,104,3,22,0.19039,31
1979,Mexico,150,90,106,-0.51708,125
1979,Pakistan,159,17,205,-1.28979,195
1979,South Korea,124,125,94,-0.09727,108
1979,Kuwait,2,14,46,0.33846,8
1979,Morocco,137,73,203,-0.86758,194
1979,Panama,118,98,56,0.05814,79
1979,Philippines,169,42,145,-0.50139,144
1979,Thailand,152,104,78,0.06657,97
1979,Turkey,119,103,128,-0.97147,140
1979,Japan,36,22,21,0.57787,16
1979,Uruguay,159,76,39,0.50252,65
1979,United States,27,31,17,0.58208,10
1979,South Africa,162,16,170,-1.25077,170
1979,Syria,102,87,96,-0.01397,95
1979,Portugal,157,160,32,0.49714,72
1979,Qatar,23,33,50,0.78414,15
1979,Peru,130,108,173,-1.00753,184
1979,Saudi Arabia,15,196,141,-0.31949,139
1979,Singapore,54,28,28,-0.06814,39
1979,Sweden,3,18,2,1.03285,2
1979,Jordan,143,121,97,-0.50946,124
1979,Tunisia,164,127,93,-0.36065,123
1979,Italy,105,35,37,0.09228,55
1979,Canada,66,20,15,0.24232,26
1979,Switzerland,21,12,20,0.21867,9
1979,Chile,139,93,77,0.11923,91
1979,China,134,119,109,-0.62358,131
1979,Colombia,174,128,82,-0.34654,119
1979,Costa Rica,123,70,55,0.02497,75
1979,Cyprus,170,105,48,0.453,76
1979,Germany,18,40,43,0.68261,14
1979,Brazil,87,131,111,-0.297,118
1979,Denmark,9,27,4,0.26208,4
1979,Poland,50,19,45,-0.09976,38
1979,United Arab Emirates,1,181,98,-0.13785,32
1979,Argentina,69,21,90,0.04435,74
1979,Australia,70,79,7,0.49425,27
1979,Austria,32,68,24,0.44785,19
1979,Belgium,8,75,11,0.20085,13
1979,Bahrain,22,86,60,-0.02054,36
1979,Hong Kong,68,39,8,0.31611,25
1979,Hungary,106,26,40,0.12978,50
1979,Indonesia,171,1,190,-1.07373,164
1979,India,132,123,152,-0.96091,170
1979,Ireland,103,7,25,-0.07747,40
1979,Iran,71,194,171,-0.8015,195
1979,Iceland,28,6,9,0.67234,3
1979,Israel,88,29,5,0.45293,22
1979,Algeria,115,130,189,-0.759,190
1979,Greece,59,23,3,0.03422,23
1979,Ecuador,107,154,119,-0.15357,128
1979,Egypt,147,132,144,-0.62946,161
1979,Spain,72,2,29,0.34261,21
1979,France,39,15,12,0.6929,6
1979,United Kingdom,89,9,18,0.46486,18
1979,Georgia,170,129,47,0.36421,80
1979,Finland,60,106,36,0.09969,53
1980,Malaysia,95,141,117,-0.06969,122
1980,Nicaragua,125,120,173,-1.02518,191
1980,Panama,97,63,77,0.14756,85
1980,Norway,26,53,16,0.73092,9
1980,Nepal,138,24,224,-1.29332,208
1980,New Zealand,58,73,32,0.15847,43
